Club,Country,Pot
Roma,ITA,1
Manchester United,ENG,1
Porto,POR,1
Ajax,NED,1
Rangers,SCO,1
Frankfurt,GER,1
Lazio,ITA,1
Tottenham,ENG,1
Slavia Prague,CZE,1
Real Sociedad,ESP,2
AZ,NED,2
Braga,POR,2
Olimpiacos,GRE,2
Lyon,FRA,2
PAOK,GRE,2
Fenerbahce,TUR,2
Maccabi Tel Aviv,ISR,2
Ferencvaros,HUN,2
Qarabag,AZE,3
Galatasaray,TUR,3
Viktoria Plzen,CZE,3
Bodo Glimt,NOR,3
Union Saint-Gilloise,BEL,3
Dynamo Kyiv,UKR,3
Ludogorets,BUL,3
Midtjylland,DEN,3
Malmo,SWE,3
Bilbao,ESP,4
Hoffenheim,GER,4
Nice,FRA,4
Anderlecht,BEL,4
Twente,NED,4
Besiktas,TUR,4
FCSB,ROM,4
RFS,LAT,4
Elfsborg,SWE,4
